session_date,final_bias,prob_trend_fused,pred_regime,actual_regime,regime_hit,pred_dir,actual_dir,dir_hit,execution_score
2025-04-15,RANGE_FADE,0.33946578803751193,range,range,1.0,0,-1,,10.91986820562679
2025-04-16,BALANCED_SMALL,0.4587959788034471,neutral,range,,0,-1,,28.81939682051706
2025-04-17,RANGE_FADE,0.1850681890360889,range,range,1.0,0,1,,0.0
2025-04-21,RANGE_FADE,0.25382165522895,range,range,1.0,0,-1,,0.0
2025-04-22,BALANCED_SMALL,0.4854991807554239,neutral,range,,0,1,,32.82487711331358
2025-04-23,RANGE_FADE,0.362219637495249,range,range,1.0,0,1,,14.33294562428735
2025-04-24,WHIP_WAIT,0.41265769023094384,neutral,trend,,0,1,,21.898653534641575
2025-04-25,RANGE_FADE,0.1653020537641125,range,range,1.0,0,1,,0.0
2025-04-28,RANGE_FADE,0.37560293458868,range,range,1.0,0,1,,16.340440188301997
2025-04-29,BALANCED_SMALL,0.4892105560695282,neutral,trend,,0,1,,33.38158341042922
2025-04-30,RANGE_FADE,0.37452650665938536,range,range,1.0,0,1,,16.178975998907802
2025-05-01,RANGE_FADE,0.26875670137827695,range,range,1.0,0,1,,0.31350520674154225
2025-05-02,RANGE_FADE,0.2789658727373442,range,range,1.0,0,1,,1.8448809106016277
2025-05-05,RANGE_FADE,0.3972339850616837,range,range,1.0,0,-1,,19.58509775925256
2025-05-06,WHIP_WAIT,0.42292869152244833,neutral,range,,0,-1,,23.43930372836725
2025-05-07,RANGE_FADE,0.3006619167562079,range,range,1.0,0,1,,5.099287513431186
2025-05-08,RANGE_FADE,0.2352349566465522,range,range,1.0,0,1,,0.0
2025-05-09,RANGE_FADE,0.17557889004990124,range,range,1.0,0,-1,,0.0
2025-05-12,RANGE_FADE,0.14492686188043793,range,range,1.0,0,1,,0.0
2025-05-13,RANGE_FADE,0.3930361069227754,range,range,1.0,0,1,,18.955416038416317
2025-05-14,RANGE_FADE,0.23791506491075404,range,range,1.0,0,1,,0.0
2025-05-15,WHIP_WAIT,0.4373957130315536,neutral,trend,,0,1,,25.609356954733038
2025-05-16,WHIP_WAIT,0.4322968057469736,neutral,trend,,0,1,,24.84452086204604
2025-05-19,WHIP_WAIT,0.433667943815478,neutral,trend,,0,1,,25.0501915723217
2025-05-20,RANGE_FADE,0.1428169974629151,range,range,1.0,0,-1,,0.0
2025-05-21,RANGE_FADE,0.36648194303873943,range,range,1.0,0,-1,,14.972291455810913
2025-05-22,RANGE_FADE,0.2413235036372412,range,range,1.0,0,1,,0.0
2025-05-23,RANGE_FADE,0.38936743261418727,range,range,1.0,0,-1,,18.40511489212809
2025-05-27,BALANCED_SMALL,0.4813358755711101,neutral,range,,0,1,,32.20038133566651
2025-05-28,RANGE_FADE,0.17107731895557127,range,trend,0.0,0,-1,,0.0
2025-05-29,RANGE_FADE,0.19808101298185807,range,range,1.0,0,1,,0.0
2025-05-30,RANGE_FADE,0.15174720450007567,range,range,1.0,0,-1,,0.0
2025-06-02,RANGE_FADE,0.3748460714014674,range,trend,0.0,0,1,,16.226910710220114
2025-06-03,BALANCED_SMALL,0.461934439748262,neutral,trend,,0,1,,29.2901659622393
2025-06-04,RANGE_FADE,0.22694023564505472,range,range,1.0,0,-1,,0.0
2025-06-05,WHIP_WAIT,0.4407517687049327,neutral,range,,0,-1,,26.112765305739906
2025-06-06,RANGE_FADE,0.1823403038645793,range,range,1.0,0,1,,0.0
2025-06-09,RANGE_FADE,0.16055682030531215,range,range,1.0,0,1,,0.0
2025-06-10,RANGE_FADE,0.39539623142624153,range,trend,0.0,0,1,,19.309434713936234
2025-06-11,RANGE_FADE,0.18837909050855384,range,range,1.0,0,-1,,0.0
2025-06-12,RANGE_FADE,0.3241031335593052,range,trend,0.0,0,1,,8.615470033895779
2025-06-13,RANGE_FADE,0.34781924614842247,range,range,1.0,0,-1,,12.172886922263368
2025-06-16,WHIP_WAIT,0.4363639838713403,neutral,range,,0,1,,25.45459758070104
2025-06-17,RANGE_FADE,0.2905046209341764,range,range,1.0,0,-1,,3.575693140126461
2025-06-18,RANGE_FADE,0.336050742180785,range,range,1.0,0,-1,,10.407611327117753
2025-06-20,RANGE_FADE,0.22015100165613563,range,range,1.0,0,-1,,0.0
2025-06-23,RANGE_FADE,0.35527013596947815,range,trend,0.0,0,1,,13.290520395421721
2025-06-24,BALANCED_SMALL,0.4603423531792964,neutral,range,,0,1,,29.051352976894457
2025-06-25,RANGE_FADE,0.22476612822449527,range,range,1.0,0,1,,0.0
2025-06-26,BALANCED_SMALL,0.5396251074261218,neutral,trend,,0,1,,37.77375751982853
2025-06-27,BALANCED_SMALL,0.5095699309110816,neutral,range,,0,1,,35.66989516377571
2025-06-30,RANGE_FADE,0.24744207705546728,range,range,1.0,0,1,,0.0
2025-07-01,RANGE_FADE,0.18943729378855567,range,range,1.0,0,-1,,0.0
2025-07-02,BALANCED_SMALL,0.4633380736530659,neutral,trend,,0,1,,29.500711047959886
2025-07-03,BALANCED_SMALL,0.5038880104754078,neutral,range,,0,1,,35.27216073327855
2025-07-07,RANGE_FADE,0.27883951401863766,range,range,1.0,0,-1,,1.8259271027956494
2025-07-08,RANGE_FADE,0.10478499960745695,range,range,1.0,0,-1,,0.0
2025-07-09,RANGE_FADE,0.22255013849480287,range,range,1.0,0,1,,0.0
2025-07-10,WHIP_WAIT,0.42779445780488906,neutral,range,,0,1,,24.169168670733363
2025-07-11,WHIP_WAIT,0.4371684626899574,neutral,range,,0,-1,,25.575269403493614
2025-07-14,BALANCED_SMALL,0.5270834372614013,neutral,range,,0,1,,36.89584060829809
2025-07-15,RANGE_FADE,0.17966135014002924,range,trend,0.0,0,-1,,0.0
2025-07-16,RANGE_FADE,0.17332722940707604,range,range,1.0,0,1,,0.0
2025-07-17,BALANCED_SMALL,0.5048040597047272,neutral,trend,,0,1,,35.3362841793309
2025-07-18,RANGE_FADE,0.22152837866890843,range,range,1.0,0,-1,,0.0
2025-07-21,BALANCED_SMALL,0.5033551563619809,neutral,range,,0,1,,35.23486094533867
2025-07-22,RANGE_FADE,0.1663818716276212,range,range,1.0,0,1,,0.0
2025-07-23,RANGE_FADE,0.15738668944947565,range,trend,0.0,0,1,,0.0
2025-07-24,RANGE_FADE,0.3835458442654305,range,range,1.0,0,1,,17.531876639814573
2025-07-25,WHIP_WAIT,0.4386818993127883,neutral,trend,,0,1,,25.802284896918245
2025-07-28,RANGE_FADE,0.17357806716269392,range,range,1.0,0,-1,,0.0
2025-07-29,RANGE_FADE,0.18161213971227885,range,range,1.0,0,-1,,0.0
2025-07-30,RANGE_FADE,0.16947619592906346,range,range,1.0,0,-1,,0.0
2025-07-31,RANGE_FADE,0.1704632457555064,range,trend,0.0,0,-1,,0.0
2025-08-01,RANGE_FADE,0.2093776285176245,range,range,1.0,0,-1,,0.0
2025-08-04,WHIP_WAIT,0.4159747262175629,neutral,trend,,0,1,,22.39620893263443
2025-08-05,RANGE_FADE,0.23245971317783432,range,trend,0.0,0,-1,,0.0
2025-08-06,RANGE_FADE,0.34355269262555854,range,trend,0.0,0,1,,11.532903893833783
2025-08-07,RANGE_FADE,0.16773519270063159,range,range,1.0,0,-1,,0.0
2025-08-08,BALANCED_SMALL,0.5095611773329988,neutral,trend,,0,1,,35.669282413309915
2025-08-11,RANGE_FADE,0.23408423518354649,range,range,1.0,0,-1,,0.0
2025-08-12,RANGE_FADE,0.3219314644011019,range,trend,0.0,0,1,,8.28971966016528
2025-08-13,RANGE_FADE,0.1999590810593532,range,range,1.0,0,1,,0.0
2025-08-14,RANGE_FADE,0.39136679998446006,range,range,1.0,0,1,,18.705019997669012
2025-08-15,RANGE_FADE,0.14828930960901404,range,range,1.0,0,-1,,0.0
2025-08-18,RANGE_FADE,0.23040382419513158,range,range,1.0,0,-1,,0.0
2025-08-19,RANGE_FADE,0.21674625270229197,range,range,1.0,0,-1,,0.0
2025-08-20,RANGE_FADE,0.13475423725974014,range,range,1.0,0,-1,,0.0
2025-08-21,RANGE_FADE,0.3495905591677682,range,range,1.0,0,-1,,12.43858387516523
