date,symbol,open,high,low,close,volume,prev_close,ret_1d,gap_open_pct,gap_abs_pct,intraday_range_pct,true_range_pct,vol20,cluster_score,trigger_gap_15,trigger_range_15,trigger_tr_15,trigger_any_15,trigger_cluster,compression_flag,label_next_day_expansion,permission_strength,permission_reason,trade_permission,day_type,feature_ts,feature_version,rates10y,vix,vix3m,vix_term,vix9d
2024-02-01,SPY,484.6300048828125,489.2300109863281,483.7999877929687,489.2000122070313,91891600.0,482.8800048828125,0.0130881528750657,0.0036240887638838,0.0036240887638838,0.0110998018353715,0.0129803882769084,,0.0,0,0,0,0,0.0,0,0,0,none,0,trend,2026-06-16T02:15:11.691849+00:00,v1_clean_daily_features_orb_trend,0.0,0.0,,0.0,0.0
2024-02-02,SPY,489.6499938964844,496.0499877929687,489.2999877929687,494.3500061035156,99228200.0,489.2000122070313,0.0105273789206383,0.0009198317216367,0.0009198317216367,0.0136542933481557,0.0138565297893475,,0.0,0,0,0,0,0.0,0,0,0,none,0,range,2026-06-16T02:15:11.691849+00:00,v1_clean_daily_features_orb_trend,0.0,0.0,,0.0,0.0
2024-02-05,SPY,493.7000122070313,494.3800048828125,490.2300109863281,492.5499877929687,75757100.0,494.3500061035156,-0.0036411819324827,-0.0013148455314234,0.0013148455314234,0.008425528371404,0.008425528371404,,0.0,0,0,0,0,0.0,0,0,0,none,0,range,2026-06-16T02:15:11.691849+00:00,v1_clean_daily_features_orb_trend,0.0,0.0,,0.0,0.0
2024-02-06,SPY,493.5199890136719,494.3200073242187,492.0499877929687,493.9800109863281,55918600.0,492.5499877929687,0.0029033057127196,0.0019693457410272,0.0019693457410272,0.0045953671824037,0.0045953671824037,,0.0,0,0,0,0,0.0,0,0,0,none,0,range,2026-06-16T02:15:11.691849+00:00,v1_clean_daily_features_orb_trend,0.0,0.0,,0.0,0.0
2024-02-07,SPY,496.2900085449219,498.5299987792969,495.3599853515625,498.1000061035156,70556500.0,493.9800109863281,0.0083404085703004,0.0046762976379983,0.0046762976379983,0.0063642107787398,0.0091346872861173,,0.0,0,0,0,0,0.0,0,0,0,none,0,trend,2026-06-16T02:15:11.691849+00:00,v1_clean_daily_features_orb_trend,0.0,0.0,,0.0,0.0
2024-02-08,SPY,498.1000061035156,498.7099914550781,497.260009765625,498.3200073242187,52343600.0,498.1000061035156,0.0004416808231426,0.0,0.0,0.0029097400628944,0.0029097400628944,,0.0,0,0,0,0,0.0,0,0,0,none,0,range,2026-06-16T02:15:11.691849+00:00,v1_clean_daily_features_orb_trend,0.0,0.0,,0.0,0.0
2024-02-09,SPY,498.8399963378906,501.6499938964844,498.489990234375,501.2000122070313,63979400.0,498.3200073242187,0.00577942856093,0.0010434841186972,0.0010434841186972,0.0063048754691651,0.0066440273167633,,0.0,0,0,0,0,0.0,0,0,0,none,0,trend,2026-06-16T02:15:11.691849+00:00,v1_clean_daily_features_orb_trend,0.0,0.0,,0.0,0.0
2024-02-12,SPY,501.1700134277344,503.5,500.239990234375,500.9800109863281,56502300.0,501.2000122070313,-0.000438948953202,-5.985390775387067e-05,5.985390775387067e-05,0.0065072651485768,0.0065072651485768,,0.0,0,0,0,0,0.0,0,0,0,none,0,range,2026-06-16T02:15:11.691849+00:00,v1_clean_daily_features_orb_trend,0.0,0.0,,0.0,0.0
2024-02-13,SPY,494.5299987792969,497.0899963378906,490.7200012207031,494.0799865722656,113099200.0,500.9800109863281,-0.0137730533409461,-0.0128747895436636,0.0128747895436636,0.0128926394314816,0.0207658882052781,,0.0,0,0,1,0,0.0,0,0,0,none,0,range,2026-06-16T02:15:11.691849+00:00,v1_clean_daily_features_orb_trend,0.0,0.0,,0.0,0.0
2024-02-14,SPY,496.7900085449219,499.0700073242187,494.3999938964844,498.5700073242187,68387800.0,494.0799865722656,0.0090876393984364,0.0054849863307706,0.0054849863307706,0.0093668158114803,0.0100086661424623,0.0079932075318413,0.0,0,0,0,0,0.0,0,0,0,none,0,range,2026-06-16T02:15:11.691849+00:00,v1_clean_daily_features_orb_trend,0.0,0.0,,0.0,0.0
