date,symbol,ovl_vix,ovl_vix3m,ovl_vix_term,ovl_rates10y,ovl_darkpool,ovl_tariff,ovl_vix_contango,dp_shares_z_26w,dp_trades_vs_13w,dp_shares_vs_13w,dp_avg_trade_size
2024-01-31,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,,1.1942876424569433,1.0806384462730028,282.04754677606775
2024-02-01,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,,1.1942876424569433,1.0806384462730028,282.04754677606775
2024-02-02,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,,1.1942876424569433,1.0806384462730028,282.04754677606775
2024-02-05,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,,0.9090674404010749,0.856762689413805,290.7877275981765
2024-02-06,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,,0.9090674404010749,0.856762689413805,290.7877275981765
2024-02-07,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,,0.9090674404010749,0.856762689413805,290.7877275981765
2024-02-08,SPY,0.0,0.0,0.0,0.5583549617500747,0.0,,0.0,,0.9090674404010749,0.856762689413805,290.7877275981765
2024-02-09,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,,0.9090674404010749,0.856762689413805,290.7877275981765
2024-02-12,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,,1.1170994375834147,1.002890849104523,271.72088541459516
2024-02-13,SPY,0.0,0.0,0.31395011901966036,0.2896625984062582,0.0,,0.0,,1.1170994375834147,1.002890849104523,271.72088541459516
2024-02-14,SPY,0.0,0.0,0.0,0.10600825511204404,0.0,,0.0,,1.1170994375834147,1.002890849104523,271.72088541459516
2024-02-15,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,,1.1170994375834147,1.002890849104523,271.72088541459516
2024-02-16,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,,1.1170994375834147,1.002890849104523,271.72088541459516
2024-02-20,SPY,0.0,0.0,0.32621901590691776,0.0,0.0,,0.0,-1.556643512238624,0.9107305020821231,0.6564687096698887,210.61139782338225
2024-02-21,SPY,0.0,0.0,0.41036799103115573,0.0,0.0,,0.0,-1.556643512238624,0.9107305020821231,0.6564687096698887,210.61139782338225
2024-02-22,SPY,0.0,0.0,0.059913182407275244,0.0,0.0,,0.0,-1.556643512238624,0.9107305020821231,0.6564687096698887,210.61139782338225
2024-02-23,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-1.556643512238624,0.9107305020821231,0.6564687096698887,210.61139782338225
2024-02-26,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.7372115927946425,0.8850264593685714,0.8384449143988216,275.2264663134699
2024-02-27,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.7372115927946425,0.8850264593685714,0.8384449143988216,275.2264663134699
2024-02-28,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.7372115927946425,0.8850264593685714,0.8384449143988216,275.2264663134699
2024-02-29,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.7372115927946425,0.8850264593685714,0.8384449143988216,275.2264663134699
2024-03-01,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.7372115927946425,0.8850264593685714,0.8384449143988216,275.2264663134699
2024-03-04,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.8954782161118594,1.0227247799642811,0.8007706934767522,221.98028320632622
2024-03-05,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.8954782161118594,1.0227247799642811,0.8007706934767522,221.98028320632622
2024-03-06,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.8954782161118594,1.0227247799642811,0.8007706934767522,221.98028320632622
2024-03-07,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.8954782161118594,1.0227247799642811,0.8007706934767522,221.98028320632622
2024-03-08,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.8954782161118594,1.0227247799642811,0.8007706934767522,221.98028320632622
2024-03-11,SPY,0.0,0.0,0.19881570202840773,0.0,0.37436965137435374,,0.0,1.5615544770615306,1.1473708834208358,1.3709971197584767,346.6319141601004
2024-03-12,SPY,0.0,0.0,0.0,0.0,0.37436965137435374,,0.0,1.5615544770615306,1.1473708834208358,1.3709971197584767,346.6319141601004
2024-03-13,SPY,0.0,0.0,0.0,0.0,0.37436965137435374,,0.0,1.5615544770615306,1.1473708834208358,1.3709971197584767,346.6319141601004
2024-03-14,SPY,0.0,0.0,0.0,0.22612925950205,0.37436965137435374,,0.0,1.5615544770615306,1.1473708834208358,1.3709971197584767,346.6319141601004
2024-03-15,SPY,0.0,0.0,0.0,0.31501640370575457,0.37436965137435374,,0.0,1.5615544770615306,1.1473708834208358,1.3709971197584767,346.6319141601004
2024-03-18,SPY,0.0,0.0,0.0,0.4001359046069582,0.0,,0.0,-0.23297352309125677,0.9162111105137851,0.9468271524451107,300.6161173573956
2024-03-19,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.23297352309125677,0.9162111105137851,0.9468271524451107,300.6161173573956
2024-03-20,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.23297352309125677,0.9162111105137851,0.9468271524451107,300.6161173573956
2024-03-21,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.23297352309125677,0.9162111105137851,0.9468271524451107,300.6161173573956
2024-03-22,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.23297352309125677,0.9162111105137851,0.9468271524451107,300.6161173573956
2024-03-25,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,0.4120729415119521,0.6819819273218908,1.0900629017152677,480.89158131710457
2024-03-26,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,0.4120729415119521,0.6819819273218908,1.0900629017152677,480.89158131710457
2024-03-27,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,0.4120729415119521,0.6819819273218908,1.0900629017152677,480.89158131710457
2024-03-28,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,0.4120729415119521,0.6819819273218908,1.0900629017152677,480.89158131710457
2024-04-01,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.3385423735818234,0.9997886663770493,0.9545473740661871,279.6472004790806
2024-04-02,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.3385423735818234,0.9997886663770493,0.9545473740661871,279.6472004790806
2024-04-03,SPY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.3385423735818234,0.9997886663770493,0.9545473740661871,279.6472004790806
2024-04-04,SPY,0.0,0.0,0.6781296905143869,0.0,0.0,,0.0,-0.3385423735818234,0.9997886663770493,0.9545473740661871,279.6472004790806
2024-04-05,SPY,0.0,0.0,0.3455570564584858,0.16661598364656674,0.0,,0.0,-0.3385423735818234,0.9997886663770493,0.9545473740661871,279.6472004790806
2024-04-08,SPY,0.0,0.0,0.08279533706326599,0.0,0.0,,0.0,-0.7384917434921328,1.0669247764334562,0.8547917657303474,233.56805954371904
2024-04-09,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.7384917434921328,1.0669247764334562,0.8547917657303474,233.56805954371904
2024-04-10,SPY,0.0,0.0,0.231927591065201,0.17512670712296044,0.0,,0.0,-0.7384917434921328,1.0669247764334562,0.8547917657303474,233.56805954371904
2024-04-11,SPY,0.0,0.0,0.0,0.4581457405407751,0.0,1.0,0.0,-0.7384917434921328,1.0669247764334562,0.8547917657303474,233.56805954371904
2024-04-12,SPY,0.0787332315255509,0.0,0.6013816271880582,0.0,0.0,,-0.0787332315255509,-0.7384917434921328,1.0669247764334562,0.8547917657303474,233.56805954371904
2024-04-15,SPY,0.678368433217211,0.1555773501025719,1.0,0.2544784140691136,0.0,,-0.5227910831146391,-0.2573876124803708,1.1594085095576472,0.9689228980604047,236.57991689800176
2024-04-16,SPY,0.4175007003183775,0.0,0.9580189295513888,0.7210269771950605,0.0,,-0.4175007003183775,-0.2573876124803708,1.1594085095576472,0.9689228980604047,236.57991689800176
2024-04-17,SPY,0.3601802399952083,0.0,0.8343328255357635,0.0,0.0,,-0.3601802399952083,-0.2573876124803708,1.1594085095576472,0.9689228980604047,236.57991689800176
2024-04-18,SPY,0.29018563747345355,0.0,0.7297369750942231,0.0,0.0,,-0.29018563747345355,-0.2573876124803708,1.1594085095576472,0.9689228980604047,236.57991689800176
2024-04-19,SPY,0.5043855056030523,0.0813460711912047,0.8252543478580779,0.0,0.0,,-0.4230394344118476,-0.2573876124803708,1.1594085095576472,0.9689228980604047,236.57991689800176
2024-04-22,SPY,0.0,0.0,0.6400355374675484,0.0,0.0,,0.0,-1.1631282364476443,0.9444198738701076,0.7770810261750698,227.7103871154504
2024-04-23,SPY,0.0,0.0,0.3204434629469171,0.0,0.0,,0.0,-1.1631282364476443,0.9444198738701076,0.7770810261750698,227.7103871154504
2024-04-24,SPY,0.0,0.0,0.42712542010698246,0.0,0.0,1.0,0.0,-1.1631282364476443,0.9444198738701076,0.7770810261750698,227.7103871154504
2024-04-25,SPY,0.0,0.0,0.27650232961904253,0.0,0.0,,0.0,-1.1631282364476443,0.9444198738701076,0.7770810261750698,227.7103871154504
2024-04-26,SPY,0.0,0.0,0.041583644355871474,0.0,0.0,,0.0,-1.1631282364476443,0.9444198738701076,0.7770810261750698,227.7103871154504
2024-04-29,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-1.081958254790528,1.0359734585890092,0.8080474576001722,211.40215360369143
