symbol,session_date,event_type,gap_pct,gap_direction,gap_fill_level,prior_close,session_open,session_high,session_low,session_close,vol_state,vol_trend_state,dp_state,macro_state,regime_label,open_regime_label,failed_breakdown_open,accepted_breakdown_open,regime_confidence,setup_dir,key_source,liquidity_regime_type,spot,gamma_wall_strike,pcr_oi,cluster_score,compression_flag,day_type,execution_score,final_bias,prob_trend_fused,prob_range_fused,dealer_state_hint,build_ts
SPY,2024-01-31,DAILY_AUCTION,,FLAT,,,488.6199951171875,489.0799865722656,482.8599853515625,482.8800048828125,,,,,,,0,0,,,,,,,,,,,,,,,,2026-06-01T03:15:23.106330+00:00
SPY,2024-02-01,UNCLASSIFIED,0.0036240887638838925,UP,482.8800048828125,482.8800048828125,484.6300048828125,489.2300109863281,483.79998779296875,489.20001220703125,unknown,unknown,low,,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,,0,0,,,,UNCLASSIFIED,,,,0.0,0.0,trend,35.0,BALANCED_SMALL,,,,2026-06-01T03:15:23.106330+00:00
SPY,2024-02-02,UNCLASSIFIED,0.0009198317216367752,UP,489.20001220703125,489.20001220703125,489.6499938964844,496.04998779296875,489.29998779296875,494.3500061035156,unknown,unknown,low,,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,,0,0,,,,UNCLASSIFIED,,,,0.0,0.0,range,35.0,BALANCED_SMALL,,,,2026-06-01T03:15:23.106330+00:00
SPY,2024-02-05,UNCLASSIFIED,-0.0013148455314234747,DOWN,494.3500061035156,494.3500061035156,493.70001220703125,494.3800048828125,490.2300109863281,492.54998779296875,unknown,unknown,low,,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,,0,0,,,,UNCLASSIFIED,,,,0.0,0.0,range,35.0,BALANCED_SMALL,,,,2026-06-01T03:15:23.106330+00:00
SPY,2024-02-06,UNCLASSIFIED,0.001969345741027287,UP,492.54998779296875,492.54998779296875,493.5199890136719,494.32000732421875,492.04998779296875,493.9800109863281,unknown,unknown,low,,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,,0,0,,,,UNCLASSIFIED,,,,0.0,0.0,range,35.0,BALANCED_SMALL,,,,2026-06-01T03:15:23.106330+00:00
SPY,2024-02-07,UNCLASSIFIED,0.004676297637998319,UP,493.9800109863281,493.9800109863281,496.2900085449219,498.5299987792969,495.3599853515625,498.1000061035156,unknown,unknown,low,,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,,0,0,,,,UNCLASSIFIED,,,,0.0,0.0,trend,35.0,BALANCED_SMALL,,,,2026-06-01T03:15:23.106330+00:00
SPY,2024-02-08,UNCLASSIFIED,0.0,FLAT,498.1000061035156,498.1000061035156,498.1000061035156,498.7099914550781,497.260009765625,498.32000732421875,unknown,unknown,low,,unknown_vol|unknown_voltrend|low_dp|normal_macro|0_comp,,0,0,,,,UNCLASSIFIED,,,,0.0,0.0,range,35.0,BALANCED_SMALL,,,,2026-06-01T03:15:23.106330+00:00
SPY,2024-02-09,UNCLASSIFIED,0.0010434841186971605,UP,498.32000732421875,498.32000732421875,498.8399963378906,501.6499938964844,498.489990234375,501.20001220703125,unknown,unknown,low,,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,,0,0,,,,UNCLASSIFIED,,,,0.0,0.0,trend,35.0,BALANCED_SMALL,,,,2026-06-01T03:15:23.106330+00:00
SPY,2024-02-12,UNCLASSIFIED,-5.9853907753863686e-05,DOWN,501.20001220703125,501.20001220703125,501.1700134277344,503.5,500.239990234375,500.9800109863281,unknown,unknown,low,,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,,0,0,,,,UNCLASSIFIED,,,,0.0,0.0,range,35.0,BALANCED_SMALL,,,,2026-06-01T03:15:23.106330+00:00
SPY,2024-02-13,UNCLASSIFIED,-0.012874789543663594,DOWN,500.9800109863281,500.9800109863281,494.5299987792969,497.0899963378906,490.7200012207031,494.0799865722656,unknown,unknown,low,,unknown_vol|unknown_voltrend|low_dp|normal_macro|0_comp,,0,0,,,,UNCLASSIFIED,,,,0.0,0.0,range,35.0,BALANCED_SMALL,,,,2026-06-01T03:15:23.106330+00:00
SPY,2024-02-14,UNCLASSIFIED,0.005484986330770704,UP,494.0799865722656,494.0799865722656,496.7900085449219,499.07000732421875,494.3999938964844,498.57000732421875,unknown,unknown,low,,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,,0,0,,,,UNCLASSIFIED,,,,0.0,0.0,range,35.0,BALANCED_SMALL,,,,2026-06-01T03:15:23.106330+00:00
SPY,2024-02-15,UNCLASSIFIED,0.0014441326396012228,UP,498.57000732421875,498.57000732421875,499.2900085449219,502.20001220703125,498.79998779296875,502.010009765625,unknown,unknown,low,,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,,0,0,,,,UNCLASSIFIED,,,,0.0,0.0,trend,35.0,BALANCED_SMALL,,,,2026-06-01T03:15:23.106330+00:00
SPY,2024-02-16,UNCLASSIFIED,-0.0006175127040563983,DOWN,502.010009765625,502.010009765625,501.70001220703125,502.8699951171875,498.75,499.510009765625,unknown,unknown,low,,unknown_vol|unknown_voltrend|low_dp|low_macro|0_comp,,0,0,,,,UNCLASSIFIED,,,,0.0,0.0,range,35.0,BALANCED_SMALL,,,,2026-06-01T03:15:23.106330+00:00
SPY,2024-02-20,CLEAN_BREAKDOWN,-0.003583528878153542,DOWN,499.510009765625,499.510009765625,497.7200012207031,498.4100036621094,494.45001220703125,496.760009765625,unknown,unknown,low,,unknown_vol|unknown_voltrend|low_dp|normal_macro|0_comp,,0,0,,,,CLEAN_BREAKDOWN,,,,0.0,0.0,range,35.0,BALANCED_SMALL,,,,2026-06-01T03:15:23.106330+00:00
