date,ret_1d_net,equity
2024-04-15,-0.012728127278102708,-0.012728127278102708
2024-04-16,-0.0020237950351298605,-0.014751922313232569
2024-04-17,-0.00611823921822443,-0.020870161531456998
2024-04-18,-0.0022577341013199303,-0.023127895632776927
2024-04-19,-0.008928350111016581,-0.03205624574379351
2024-04-22,0.009009139520294229,-0.02304710622349928
2024-04-23,0.011666630635747332,-0.011380475587751947
2024-04-24,-0.0006746172990642838,-0.012055092886816231
2024-04-25,-0.003998922486342393,-0.016054015373158623
2024-04-26,0.009273911346339791,-0.006780104026818832
2024-04-29,0.003341470425341586,-0.003438633601477246
2024-04-30,-0.016041247325688256,-0.019479880927165502
2024-05-01,-0.0034471509764099294,-0.02292703190357543
2024-05-02,0.009153437830903255,-0.013773594072672176
2024-05-03,0.012195322615995185,-0.0015782714566769905
2024-05-14,0.004388152985457228,0.0028098815287802377
2024-05-16,-0.002257508390634233,0.0005523731381460047
2024-05-17,0.0012375338328991293,0.001789906971045134
2024-05-20,0.0009521113183465826,0.0027420182893917165
2024-05-21,0.0022525295229904652,0.004994547812382182
2024-05-24,0.006416435324681147,0.011410983137063329
2024-05-28,0.0004988423909817243,0.011909825528045053
2024-05-29,-0.007202551838871107,0.004707273689173946
2024-05-30,-0.006833701570672112,-0.0021264278814981663
2024-06-13,0.0018134972753127477,-0.0003129306061854186
2024-06-21,-0.004752084523537503,-0.005065015129722921
2024-06-24,-0.003450664817000981,-0.008515679946723902
2024-06-26,0.0010480822540090752,-0.007467597692714828
2024-07-01,0.00185809454382333,-0.005609503148891498
2024-07-03,0.004262600250361826,-0.0013469028985296722
2024-07-16,0.005730147776526118,0.004383244877996446
2024-07-19,-0.006840580263619799,-0.0024573353856233533
2024-07-22,0.01010990415193389,0.007652568766310537
2024-07-23,-0.001768547875043458,0.0058840208912670795
2024-07-26,0.010999698366761712,0.01688371925802879
2024-07-29,0.0003877733502015481,0.01727149260823034
2024-07-30,-0.0052664691169465256,0.012005023491283816
