date,symbol,readiness_score,ignition_score,early_score,early_bucket,dp_strength,transition_flag,compression_flag,trigger_cluster,trade_permission,tr_lift,cluster_slope,tr_lift_fast,cluster_slope_fast,pressure_state,trade_gate,pressure_reason,signal_ts,signal_version
2024-05-29,WMT,0.0,0.0,0.0,unknown,0.0,0,0,0.0,0,,,,,NORMAL,0,default,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-05-30,WMT,0.0,0.0,0.0,unknown,0.0,0,0,0.0,0,,0.0,,0.0,NORMAL,0,default,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-05-31,WMT,0.0,20.0,20.0,unknown,0.0,0,0,1.0,0,,0.5,3.0674624970631568,1.0,UNRESOLVED_PRESSURE,0,tr_lift_fast=3.07 >= 1.15 but early_bucket=quiet,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-03,WMT,0.0,13.333333333333332,13.333333333333332,unknown,0.0,0,0,1.0,0,,0.3333333333333333,1.0899470337669952,0.0,NORMAL,0,default,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-04,WMT,0.0,17.67087284717107,17.67087284717107,unknown,0.0,0,0,1.0,0,1.1917718211792767,0.25,1.1917718211792767,0.0,UNRESOLVED_PRESSURE,0,tr_lift_fast=1.19 >= 1.15 but early_bucket=quiet,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-05,WMT,0.0,13.815364326352395,13.815364326352395,unknown,0.0,0,0,1.0,0,1.1453841081588099,0.2,1.0532303953138178,0.0,NORMAL,0,default,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-06,WMT,0.0,8.0,8.0,unknown,0.0,0,0,1.0,0,0.9657977188918442,0.2,0.8103881143423683,0.0,NORMAL,0,default,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-07,WMT,0.0,28.0,28.0,unknown,0.0,0,0,2.0,0,2.5875699735628572,0.2,2.379382887142261,1.0,UNRESOLVED_PRESSURE,0,tr_lift_fast=2.38 >= 1.15 but early_bucket=quiet,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-10,WMT,0.0,36.0,36.0,unknown,0.0,0,0,3.0,1,1.7587919238025784,0.4,1.6699023609915222,1.0,UNRESOLVED_PRESSURE,0,tr_lift_fast=1.67 >= 1.15 but early_bucket=quiet,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-11,WMT,0.0,16.0,16.0,unknown,0.0,0,0,3.0,0,0.8074161286471282,0.4,0.7049304446392566,0.0,NORMAL,0,default,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-12,WMT,0.0,29.632658752096724,29.632658752096724,unknown,0.0,0,0,4.0,1,1.2408164688024181,0.6,1.0,1.0,NORMAL,0,default,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-13,WMT,0.0,20.0,20.0,unknown,0.0,0,0,4.0,0,0.9607598060151741,0.6,0.7742964654091491,0.0,NORMAL,0,default,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-14,WMT,0.0,8.0,8.0,unknown,0.0,0,0,3.0,0,0.9883671334441235,0.2,0.9952159362204636,-1.0,NORMAL,0,default,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-17,WMT,0.0,16.34602856241932,16.34602856241932,unknown,0.0,0,0,4.0,1,1.208650714060483,0.2,1.258015485757523,1.0,UNRESOLVED_PRESSURE,0,tr_lift_fast=1.26 >= 1.15 but early_bucket=quiet,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-18,WMT,0.0,8.0,8.0,unknown,0.0,0,0,4.0,0,0.6715552666264555,0.2,0.694330032441064,0.0,NORMAL,0,default,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-20,WMT,0.0,0.09856349681274246,0.09856349681274246,unknown,0.0,0,0,4.0,0,1.0024640874203186,0.0,1.0049403482907122,0.0,NORMAL,0,default,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
2024-06-21,WMT,0.0,0.0,0.0,unknown,0.0,0,0,4.0,0,0.8708954713141418,0.0,0.8772435237585359,0.0,NORMAL,0,default,2026-06-17T00:01:15.898280+00:00,v1_early_readiness_ignition
